"","age","agekdbrn","coninc","nummen","numwomen","sibs","size","weekswrk","ADULTS","ATTEND","BABIES","CLASS","CLOSEBLK","CLOSEWHT","COMPREND","COURTS","DEGREE","EARNRS","FINALTER","FINRELA","FUND","HAPPY","HEALTH","INCOM16","MADEG","NATCHLD","NATENRGY","NATMASS","NATPARK","NATROAD","NATSCI","NATSOC","PADEG","PARTNERS","PARTNERS5","POLVIEWS","PRAY","PRETEEN","RANK","RELACTIV","RELITEN","RELPERSN","SATFIN","SATJOB","SEXFREQ","SPRTPRSN","TEENS","VETYEARS","aidscndm","aidslook","ballot","bible","born","cappun","condom","consent","coop","CSHUTYP10","dipged","dwelling","ethnum","evcrack","evpaidsx","evstray","famgen","family16","fear","feeused","gender1","god","hhrace","hivtest","hunt","mar1","mar2","matesex","mawrkgrw","mobile16","othlang","owngun","partfull","partyid","pawrkslf","phone","postlife","raclive","racopen","reborn","reg16","relate2","relatsex","res16","rplace","sex","sexornt","srcbelt","VOTE08","whoelse1","whoelse2","whoelse3","whoelse4","whoelse5","wksub","wksup","wrkgovt","xnorcsiz"
"657",31,NA,NA,NA,3,3,2099,NA,2,NA,NA,2,NA,NA,3,NA,NA,1,NA,2,NA,2,NA,4,5,NA,NA,NA,NA,3,NA,1,4,4,NA,4,NA,NA,NA,1,NA,3,1,NA,4,4,NA,1,NA,NA,NA,"BOOK OF FABLES",NA,NA,"NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1",NA,"no","no","1 GEN",NA,NA,"no","male","KNOW GOD EXISTS","black","No",NA,NA,"NEVER MARRIED","yes",NA,"SAME ST,DIF CITY","no",NA,"PART-TIME","NOT STR DEMOCRAT",NA,"cellphone","yes",NA,NA,NA,"W. SOU. CENTRAL","NON-RELATIVE","YES, IN RELATIONSHIP","CITY GT 250000","HEAD OF HOUSEHOLD","female","Bisexual",NA,NA,NA,NA,"no","no",NA,"no","no","private","CITY GT 250000"
"658",24,18,NA,4,0,5,2099,52,1,1,3,3,9,8,NA,3,2,1,3,3,1,2,3,4,2,NA,NA,2,1,2,NA,NA,NA,2,NA,5,5,NA,3,1,1,NA,3,3,6,NA,0,NA,NA,NA,"BALLOT A",NA,"yes","oppose","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","CANNOT NAME ANY","no",NA,"NEVER MARRIED","2 GENS, CHILDREN","MOTHER & STPFATHER",NA,NA,"female","KNOW GOD EXISTS",NA,"Yes","neither","NEVER MARRIED",NA,"yes",NA,NA,NA,"no","FULL-TIME",NA,NA,"cellphone","no","yes","OWNER DECIDES","yes",NA,"child","YES, IN RELATIONSHIP","50000 TO 250000","HEAD OF HOUSEHOLD","female","Heterosexual or straight","12 LRGST SMSA'S","Voted","yes","no","no",NA,"no","yes","no","private",NA
"659",NA,20,40645,NA,0,6,2099,NA,2,1,0,3,NA,NA,3,3,2,NA,NA,3,1,NA,NA,NA,NA,3,1,1,NA,1,1,NA,NA,2,6,2,NA,NA,3,1,NA,NA,3,4,NA,4,0,1,NA,"Yes","BALLOT B","INSPIRED WORD","yes","favor","NOT USED","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1","no","no",NA,"1 GEN","MOTHER & FATHER",NA,"YES, MONEY","female","SOME HIGHER POWER","OTHER, MIXED","No",NA,"married","married",NA,"no","SAME CITY","no",NA,"FULL-TIME",NA,NA,"PHONE IN HOME","yes","yes",NA,"no","W. SOU. CENTRAL",NA,NA,NA,NA,NA,"Heterosexual or straight","12 LRGST SMSA'S",NA,"no","no","no","no","no","yes",NA,NA,"CITY GT 250000"
"660",62,NA,24017.5,NA,0,5,2099,NA,1,9,0,2,9,9,3,1,2,1,NA,NA,NA,NA,NA,3,2,1,NA,3,NA,3,1,1,NA,NA,1,5,6,0,3,8,4,NA,NA,NA,1,3,0,1,"Yes","Yes","BALLOT C","WORD OF GOD","yes",NA,"NOT USED",NA,NA,NA,"High School diploma",NA,NA,"no","no","no",NA,NA,NA,"YES, MONEY",NA,"KNOW GOD EXISTS","black","No",NA,"NEVER MARRIED",NA,NA,"yes","DIFFERENT STATE","no",NA,"FULL-TIME","NOT STR DEMOCRAT","SOMEONE ELSE","cellphone","yes","yes","CANT DISCRIMINATE","yes","W. SOU. CENTRAL",NA,NA,NA,"HEAD OF HOUSEHOLD","female",NA,NA,"Voted",NA,"no","no","no",NA,"yes","no","private","CITY GT 250000"
"661",NA,30,17551.25,NA,0,NA,2099,0,NA,NA,NA,2,NA,NA,NA,3,4,NA,2,3,NA,3,3,NA,NA,1,1,2,1,1,2,NA,NA,1,2,NA,5,NA,4,2,NA,2,1,NA,1,NA,0,NA,NA,NA,"BALLOT A","INSPIRED WORD","yes","oppose","NOT USED","R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1","no","no","no","1 GEN",NA,"yes",NA,"female","KNOW GOD EXISTS","black",NA,NA,NA,NA,NA,NA,"SAME ST,DIF CITY","no","yes",NA,NA,"SOMEONE ELSE","PHONE IN HOME","yes","yes",NA,NA,"W. SOU. CENTRAL",NA,"YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD",NA,"Heterosexual or straight","12 LRGST SMSA'S","Voted","no","no","no",NA,"no",NA,NA,"government",NA
"662",54,31,33255,0,NA,7,3,52,2,6,NA,2,9,7,NA,3,2,2,2,2,3,NA,2,3,NA,NA,2,NA,3,2,2,1,NA,NA,3,NA,6,0,NA,4,4,2,2,4,5,NA,0,1,"Yes","Yes","BALLOT C","WORD OF GOD","yes","oppose","USED LAST TIME",NA,NA,"LIVING IN HOUSEHOLD","High School diploma",NA,"CANNOT NAME ANY","no",NA,NA,"2 GENS, CHILDREN","MOTHER & FATHER","no",NA,"male",NA,"black",NA,"neither","NEVER MARRIED","NEVER MARRIED","yes","yes","SAME ST,DIF CITY",NA,"no",NA,"NOT STR DEMOCRAT",NA,NA,NA,"yes","OWNER DECIDES","no",NA,"child",NA,"COUNTRY,NONFARM","HEAD OF HOUSEHOLD","male",NA,NA,NA,NA,"no","no","no",NA,"yes","no","government","SUBURB, LRG CITY"
"663",24,22,33255,0,0,NA,3,50,NA,NA,1,NA,NA,NA,NA,2,2,NA,2,2,2,2,NA,1,NA,NA,NA,1,NA,1,2,1,NA,4,NA,3,NA,NA,5,1,NA,2,1,4,NA,1,0,NA,"Yes",NA,"BALLOT B","WORD OF GOD",NA,NA,"NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma",NA,"CANNOT NAME ANY","no","no",NA,NA,NA,NA,NA,"female","SOME HIGHER POWER",NA,"Yes",NA,NA,"NEVER MARRIED","yes","yes",NA,NA,NA,"FULL-TIME","independent",NA,"cellphone","yes",NA,NA,"no","W. SOU. CENTRAL","child","NO, NO RELATIONSHIP","CITY GT 250000","child",NA,"Heterosexual or straight","OTHER URBAN","Ineligible",NA,"no","no",NA,"no",NA,"yes",NA,"SUBURB, LRG CITY"
"664",79,NA,NA,NA,2,1,3,12,1,3,0,NA,5,9,3,1,1,NA,2,2,1,1,3,3,1,NA,2,1,2,1,2,1,NA,1,1,6,2,0,5,2,2,3,2,NA,1,3,0,NA,NA,"Yes","BALLOT C","BOOK OF FABLES","yes","favor",NA,NA,NA,"LIVING IN HOUSEHOLD",NA,"trailer","NAMES 1",NA,"no",NA,"1 GEN","FEMALE RELATIVE","no",NA,"male","KNOW GOD EXISTS","white","No","neither","widowed",NA,NA,NA,"SAME CITY","no","yes","PART-TIME","independent",NA,"cellphone",NA,"no","neither","yes",NA,NA,"YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD",NA,"Heterosexual or straight","OTHER URBAN","Voted","no","no","no","no","no",NA,NA,"private","SUBURB, LRG CITY"
"665",NA,NA,24017.5,NA,0,1,3,0,NA,3,NA,1,NA,NA,3,3,2,NA,3,3,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,4,5,1,NA,1,NA,1,NA,NA,NA,4,1,1,"Yes",NA,"BALLOT B","BOOK OF FABLES",NA,"oppose",NA,"R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD",NA,"DETACHED 1-FAM HOUSE","CANNOT NAME ANY","no","no","NEVER MARRIED",NA,"mother",NA,"YES, MONEY","female","KNOW GOD EXISTS","black",NA,NA,"NEVER MARRIED",NA,NA,"yes","SAME ST,DIF CITY","no",NA,NA,"IND,NEAR DEM",NA,"cellphone",NA,"no",NA,"no","W. SOU. CENTRAL","child","YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD","female","Heterosexual or straight","OTHER URBAN","Ineligible",NA,"no",NA,NA,"no",NA,NA,NA,"SUBURB, LRG CITY"
"666",27,18,6651,2,0,NA,3,NA,2,7,NA,2,NA,9,NA,NA,2,2,2,3,3,3,NA,NA,1,2,1,NA,NA,NA,2,2,1,NA,NA,NA,5,2,7,5,NA,4,2,3,4,NA,0,1,NA,NA,"BALLOT C","BOOK OF FABLES",NA,"oppose","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma",NA,NA,NA,NA,"no","2 GENS, CHILDREN",NA,NA,"YES, MONEY","male",NA,"black",NA,NA,NA,"married",NA,"no","SAME CITY","no",NA,NA,NA,"SELF-EMPLOYED","cellphone",NA,"yes","OWNER DECIDES","yes",NA,NA,"YES, IN RELATIONSHIP",NA,NA,NA,"Heterosexual or straight",NA,NA,"yes","no","no","no","no","yes","no","private","SUBURB, LRG CITY"
"667",36,24,NA,0,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,3,4,1,NA,NA,1,3,4,NA,NA,NA,3,1,NA,1,1,1,2,2,6,NA,NA,0,3,NA,1,1,1,4,6,NA,0,NA,NA,"Yes","BALLOT A","BOOK OF FABLES","yes","favor","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED",NA,"High School diploma","DETACHED 1-FAM HOUSE","CHOOSES 1 OF 2+","yes","no","NEVER MARRIED",NA,NA,NA,"no","male","NO WAY TO FIND OUT",NA,"Yes","resp","NEVER MARRIED","NEVER MARRIED",NA,"yes",NA,"yes","yes",NA,"IND,NEAR REP","SOMEONE ELSE",NA,NA,NA,"CANT DISCRIMINATE","no",NA,"NON-RELATIVE","YES, IN RELATIONSHIP",NA,NA,"male","Heterosexual or straight","SUBURB, 12 LRGST","Voted","no","no",NA,"no",NA,NA,"yes","private","UNINC,LRG CITY"
"668",19,NA,160742.21785,0,17,3,563,3,2,4,0,3,NA,NA,3,NA,2,1,3,3,NA,2,NA,4,2,2,NA,NA,1,2,NA,NA,2,6,6,NA,2,NA,NA,1,3,NA,3,3,4,3,0,NA,NA,NA,"BALLOT B","INSPIRED WORD","yes",NA,NA,NA,"cooperative","LIVING IN HOUSEHOLD",NA,"APARTMENT HOUSE","NAMES 1","no","no",NA,"2 GENS, CHILDREN",NA,NA,NA,"female","KNOW GOD EXISTS",NA,"No",NA,NA,"NEVER MARRIED",NA,"yes","SAME CITY","no",NA,"PART-TIME","independent","SOMEONE ELSE","cellphone","yes",NA,NA,"yes","W. SOU. CENTRAL","child","NO, NO RELATIONSHIP","CITY GT 250000",NA,"male","Heterosexual or straight","SUBURB, 12 LRGST","Ineligible","yes","no",NA,"yes","yes","yes",NA,"private","UNINC,LRG CITY"
"669",NA,23,49882.5,NA,0,3,563,52,1,5,0,3,9,9,NA,NA,2,1,3,3,NA,2,3,NA,2,1,1,3,3,1,NA,NA,2,2,2,5,5,0,5,4,2,3,2,4,2,4,0,1,"Yes",NA,"BALLOT C","INSPIRED WORD","yes",NA,"USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma",NA,"NAMES 1",NA,"no","no",NA,NA,"no","YES, MONEY","female",NA,NA,"No",NA,NA,NA,"yes","yes","SAME CITY","no",NA,"FULL-TIME",NA,"SOMEONE ELSE","PHONE IN HOME","yes","yes",NA,NA,"W. SOU. CENTRAL",NA,"YES, IN RELATIONSHIP","50000 TO 250000","HEAD OF HOUSEHOLD","female","Heterosexual or straight","SUBURB, 12 LRGST","Voted",NA,NA,NA,"no",NA,"no",NA,NA,NA
"670",63,21,73900,0,8,3,563,50,2,1,0,2,5,NA,3,1,NA,2,NA,NA,1,3,3,1,NA,NA,NA,NA,NA,1,2,NA,1,NA,3,7,NA,NA,5,1,1,NA,NA,NA,2,3,0,4,NA,"Yes","BALLOT A","WORD OF GOD","yes","favor",NA,"R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","APARTMENT HOUSE",NA,NA,"yes","yes","1 GEN","father","yes","YES, MONEY","male","KNOW GOD EXISTS","white","Yes",NA,NA,"married","yes",NA,NA,NA,"yes",NA,"IND,NEAR REP","SOMEONE ELSE","cellphone",NA,NA,"CANT DISCRIMINATE","no",NA,"spouse","YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD",NA,"Heterosexual or straight","SUBURB, 12 LRGST","Voted","no","no","yes","no",NA,NA,NA,NA,"UNINC,LRG CITY"
"671",41,NA,4064.5,NA,NA,NA,563,50,1,6,0,NA,NA,NA,NA,2,2,1,NA,NA,2,NA,NA,3,2,1,2,2,1,2,1,1,NA,3,NA,NA,6,1,5,3,4,3,2,3,NA,3,0,NA,NA,NA,NA,"WORD OF GOD",NA,"favor",NA,"R CONSENTS TO RECORDING INTERVIEW","cooperative","LIVING IN HOUSEHOLD",NA,"APARTMENT HOUSE","NAMES 1",NA,NA,"NEVER MARRIED",NA,NA,"no",NA,"male","KNOW GOD EXISTS","white",NA,"resp","NEVER MARRIED",NA,"no","yes","SAME ST,DIF CITY","no",NA,NA,"NOT STR REPUBLICAN",NA,"cellphone","yes","yes","OWNER DECIDES","no","W. SOU. CENTRAL",NA,NA,"TOWN LT 50000","HEAD OF HOUSEHOLD",NA,NA,"SUBURB, 12 LRGST",NA,NA,"yes","no",NA,"no",NA,NA,NA,NA
"672",36,NA,NA,NA,0,NA,NA,52,1,NA,NA,3,5,5,3,NA,NA,1,2,NA,1,2,4,3,4,NA,1,NA,2,NA,1,3,5,2,2,3,1,0,5,1,NA,NA,2,NA,3,2,NA,1,"Yes","Yes","BALLOT C","INSPIRED WORD","yes",NA,"NOT USED","R CONSENTS TO RECORDING INTERVIEW","cooperative","LIVING IN HOUSEHOLD","High School diploma","APARTMENT HOUSE","NAMES 1","no",NA,"NEVER MARRIED","1 GEN","MOTHER & FATHER",NA,"YES, MONEY",NA,"NO WAY TO FIND OUT","white","No",NA,"NEVER MARRIED",NA,"yes",NA,"SAME CITY","no","no",NA,NA,"SOMEONE ELSE",NA,NA,"yes",NA,"no","W. SOU. CENTRAL",NA,"NO, NO RELATIONSHIP","BIG-CITY SUBURB",NA,"female","Heterosexual or straight",NA,"Did not vote","no","no","no","no",NA,NA,NA,"private",NA
"673",36,19,NA,NA,NA,0,563,52,2,3,NA,3,NA,7,NA,NA,5,NA,NA,3,2,2,2,NA,4,2,2,2,2,3,2,1,NA,2,2,6,6,0,1,1,4,3,NA,4,NA,3,NA,1,NA,NA,"BALLOT A","WORD OF GOD",NA,"oppose","NOT USED","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"KNOW GOD EXISTS","black","Yes","neither","married",NA,NA,NA,"DIFFERENT STATE",NA,"yes",NA,"STRONG DEMOCRAT",NA,"cellphone","yes",NA,NA,"yes","W. NOR. CENTRAL","spouse","YES, IN RELATIONSHIP","50000 TO 250000","HEAD OF HOUSEHOLD","female","Heterosexual or straight","SUBURB, 12 LRGST","Voted","no","yes",NA,"no","no",NA,"yes","private","UNINC,LRG CITY"
"674",40,NA,27712.5,NA,NA,NA,2099,48,2,NA,NA,NA,1,NA,3,1,NA,NA,2,3,NA,NA,3,NA,NA,1,NA,3,2,3,3,1,NA,NA,NA,3,1,3,5,1,2,1,2,4,NA,2,0,1,NA,NA,"BALLOT A","WORD OF GOD",NA,"favor",NA,NA,NA,NA,"High School diploma","DETACHED 1-FAM HOUSE","NAMES 1",NA,NA,NA,"2 GENS, CHILDREN",NA,NA,"YES, MONEY","male","KNOW GOD EXISTS","white",NA,"neither",NA,"married",NA,"no","DIFFERENT STATE","yes","no","FULL-TIME",NA,NA,NA,"no",NA,"CANT DISCRIMINATE","no",NA,"spouse",NA,"TOWN LT 50000",NA,"male",NA,NA,NA,NA,NA,"yes","no",NA,"yes","no","private","CITY GT 250000"
"675",33,NA,15703.75,0,NA,4,NA,52,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,NA,1,3,NA,2,3,3,1,1,NA,NA,NA,NA,1,5,1,2,NA,NA,NA,6,3,NA,1,"Yes","Yes",NA,NA,NA,"oppose",NA,"R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD",NA,"APARTMENT HOUSE","NAMES 1",NA,"no","no",NA,"MOTHER & STPFATHER",NA,"YES, MONEY","male","KNOW GOD EXISTS","OTHER, MIXED","Yes",NA,"married","married","yes",NA,"SAME CITY","yes",NA,"FULL-TIME","independent","SOMEONE ELSE",NA,NA,"yes",NA,"no","W. SOU. CENTRAL","spouse",NA,"CITY GT 250000",NA,"male","Heterosexual or straight",NA,"Did not vote","no",NA,NA,"no","no","yes","no","private","CITY GT 250000"
"676",NA,19,5542.5,NA,NA,6,2099,1,NA,NA,NA,1,NA,5,NA,1,NA,NA,2,3,2,3,NA,NA,NA,NA,1,NA,1,NA,2,1,2,NA,5,5,NA,1,7,2,2,NA,3,4,2,1,0,1,NA,NA,"BALLOT A",NA,"yes","favor","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED",NA,"High School diploma","APARTMENT HOUSE","NAMES 1",NA,"no",NA,"2 GENS, CHILDREN","MOTHER & STPFATHER","no","no","female",NA,"white","Yes","neither","separated",NA,"yes",NA,"SAME CITY",NA,"no","PART-TIME",NA,"SOMEONE ELSE","cellphone","yes","yes","CANT DISCRIMINATE","no","W. SOU. CENTRAL","NON-RELATIVE","YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD","female","Heterosexual or straight",NA,"Voted",NA,"no","yes","no","yes","yes","no","private","CITY GT 250000"
"677",47,17,20322.5,1,NA,12,2099,0,2,6,NA,2,5,NA,3,3,2,1,3,NA,NA,3,NA,2,1,3,2,2,NA,3,NA,2,NA,2,2,5,NA,2,2,3,3,NA,NA,4,6,3,0,1,"No",NA,"BALLOT A","INSPIRED WORD","no","favor","USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","cooperative",NA,NA,"DETACHED 1-FAM HOUSE",NA,"no","no","no",NA,"MOTHER & FATHER",NA,"YES, MONEY","male","BELIEVE SOMETIMES","white","No",NA,"married","married","yes",NA,NA,"no","no",NA,"independent",NA,"PHONE ELSEWHERE","yes","yes","OWNER DECIDES","yes","foreign","spouse",NA,NA,"spouse","female",NA,"12 LRGST SMSA'S","Did not vote",NA,NA,"no","no","no","yes",NA,"private","CITY GT 250000"
"678",39,25,60967.5,0,8,3,2099,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,3,NA,NA,NA,1,4,2,2,NA,5,0,NA,5,NA,3,3,3,6,NA,1,3,NA,NA,NA,NA,"yes","favor",NA,"R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN INSTITUTION","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1",NA,"no","no",NA,"MOTHER & FATHER",NA,NA,"male",NA,"white",NA,NA,"married","married",NA,"yes","SAME ST,DIF CITY",NA,NA,"FULL-TIME","STRONG REPUBLICAN","SOMEONE ELSE",NA,"yes","yes",NA,NA,NA,"spouse",NA,"COUNTRY,NONFARM","HEAD OF HOUSEHOLD",NA,"Heterosexual or straight",NA,"Voted",NA,"no","no","no","no","yes","yes",NA,NA
"679",NA,NA,NA,NA,1,3,NA,52,3,3,0,2,NA,NA,NA,3,2,NA,3,2,NA,2,NA,2,1,NA,1,NA,2,NA,NA,3,1,5,6,NA,2,0,NA,1,2,NA,1,NA,7,2,NA,1,"Yes","Yes","BALLOT B","BOOK OF FABLES","yes","favor","USED LAST TIME",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1","no",NA,NA,NA,NA,NA,"YES, MONEY","male","SOME HIGHER POWER","OTHER, MIXED","Yes",NA,"NEVER MARRIED","widowed","no","yes",NA,NA,NA,"FULL-TIME",NA,NA,NA,NA,"no",NA,NA,"W. SOU. CENTRAL","child","YES, IN RELATIONSHIP",NA,"OTHER RELATIVE","male",NA,"12 LRGST SMSA'S","Voted",NA,"no","no",NA,"yes","yes","no",NA,"CITY GT 250000"
"680",20,NA,NA,NA,NA,NA,2099,NA,4,8,NA,3,NA,NA,NA,1,2,3,2,NA,NA,3,NA,3,1,NA,1,2,2,3,NA,1,1,NA,NA,4,NA,0,4,NA,3,NA,3,NA,NA,NA,1,1,"Yes","Yes","BALLOT B","INSPIRED WORD",NA,"favor","USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE",NA,NA,"no",NA,NA,NA,NA,"YES, MONEY","female","KNOW GOD EXISTS",NA,"No",NA,"separated","NEVER MARRIED","yes",NA,NA,NA,NA,NA,"NOT STR DEMOCRAT","SELF-EMPLOYED","cellphone",NA,"no",NA,NA,NA,"child","YES, IN RELATIONSHIP","CITY GT 250000","child","female","Heterosexual or straight","12 LRGST SMSA'S","Ineligible","no","no",NA,"no",NA,NA,NA,NA,"CITY GT 250000"
"681",32,22,73900,1,NA,2,2099,52,2,NA,2,2,NA,7,3,1,2,2,3,NA,NA,NA,4,2,1,2,2,2,NA,2,NA,2,1,2,NA,4,NA,2,NA,3,NA,NA,3,NA,NA,2,0,NA,NA,"Yes","BALLOT C",NA,"yes","favor","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1","no","no",NA,NA,"MOTHER & FATHER","no","no","female","KNOW GOD EXISTS","OTHER, MIXED","No","neither","married",NA,NA,NA,"SAME CITY","yes","yes","FULL-TIME","NOT STR DEMOCRAT","SELF-EMPLOYED","PHONE IN HOME","yes","no","CANT DISCRIMINATE","yes","W. SOU. CENTRAL","spouse","YES, IN RELATIONSHIP","CITY GT 250000","HEAD OF HOUSEHOLD","female","Heterosexual or straight","12 LRGST SMSA'S","Voted","yes",NA,"yes","no","no","yes","yes","private",NA
"682",NA,NA,NA,NA,NA,NA,2099,52,1,7,0,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,3,1,NA,1,3,NA,3,3,1,1,2,2,NA,NA,0,5,NA,NA,NA,NA,4,NA,NA,0,1,NA,NA,NA,"WORD OF GOD","yes","oppose","USED LAST TIME","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","cooperative",NA,"High School diploma","APARTMENT HOUSE","NAMES 1","no","no","NEVER MARRIED","1 GEN","MOTHER & FATHER",NA,NA,"male",NA,"OTHER, MIXED","Yes",NA,"NEVER MARRIED",NA,"yes","no","DIFFERENT STATE",NA,NA,NA,"IND,NEAR DEM","SOMEONE ELSE","cellphone",NA,NA,NA,NA,"foreign",NA,"YES, IN RELATIONSHIP","TOWN LT 50000","HEAD OF HOUSEHOLD",NA,"Heterosexual or straight",NA,"Did not vote","no","no",NA,"no","no","yes","no","private","CITY GT 250000"
"683",NA,NA,20322.5,NA,0,4,NA,0,2,1,0,NA,NA,NA,NA,2,2,1,3,3,2,2,NA,3,1,NA,1,3,1,2,3,1,1,NA,2,4,6,NA,5,NA,2,3,2,NA,5,NA,0,1,"Yes","Yes","BALLOT B",NA,"no",NA,"USED LAST TIME",NA,NA,"LIVING IN HOUSEHOLD","High School diploma","APARTMENT HOUSE",NA,"no",NA,NA,NA,"MOTHER & FATHER",NA,"YES, MONEY",NA,NA,"white",NA,NA,NA,"NEVER MARRIED","yes","no",NA,"no",NA,NA,NA,"SELF-EMPLOYED","NO PHONE",NA,"no",NA,"no","foreign",NA,NA,"50000 TO 250000","HEAD OF HOUSEHOLD","female",NA,NA,"Ineligible","no","no","no","no",NA,"yes","no",NA,"CITY GT 250000"
"684",NA,NA,NA,0,NA,NA,2099,52,NA,1,0,NA,NA,7,3,1,2,NA,3,NA,NA,NA,NA,4,1,2,2,1,2,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,3,NA,3,0,NA,NA,"Yes",NA,"WORD OF GOD","no","oppose","NOT USED","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED",NA,"LIVING IN HOUSEHOLD","ged",NA,"NAMES 1","no",NA,NA,"1 GEN",NA,"no","YES, MONEY","male",NA,"OTHER, MIXED",NA,"neither","divorced",NA,NA,"no","DIFFERENT STATE","no","no","FULL-TIME","NOT STR DEMOCRAT",NA,NA,"no","yes","CANT DISCRIMINATE","no","foreign",NA,NA,"50000 TO 250000","HEAD OF HOUSEHOLD","male","Heterosexual or straight","12 LRGST SMSA'S",NA,"no","no","no",NA,"no",NA,"no",NA,NA
"685",60,52,33255,0,1,6,2099,48,2,1,0,2,1,NA,3,2,NA,1,3,NA,2,NA,3,3,NA,1,1,2,NA,NA,3,1,NA,2,2,NA,5,NA,NA,NA,NA,1,2,3,NA,NA,0,NA,"Yes","Yes","BALLOT C","INSPIRED WORD",NA,NA,"USED LAST TIME",NA,"RESTLESS,IMPATIENT",NA,"High School diploma","APARTMENT HOUSE","NAMES 1","no","no","yes","2 GENS, CHILDREN","mother","no",NA,"male","KNOW GOD EXISTS",NA,"No","neither","married","married",NA,NA,"DIFFERENT STATE","no","no","FULL-TIME","independent",NA,"cellphone","no",NA,NA,"yes","foreign","spouse","NO, NO RELATIONSHIP",NA,"HEAD OF HOUSEHOLD",NA,"Heterosexual or straight",NA,"Ineligible",NA,"no","no","no","no","yes","no","private","CITY GT 250000"
"686",NA,NA,NA,3,0,8,2099,52,NA,NA,NA,2,NA,NA,3,1,1,NA,3,3,2,2,NA,NA,1,1,NA,NA,3,NA,NA,1,1,1,1,NA,6,0,5,1,4,3,2,4,1,3,0,NA,"Yes","Yes",NA,"WORD OF GOD",NA,"favor","USED LAST TIME","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","FRIENDLY,INTERESTED",NA,NA,NA,"NAMES 1","no","no",NA,"1 GEN",NA,NA,NA,"female","KNOW GOD EXISTS","white","No",NA,"NEVER MARRIED",NA,NA,"no","DIFFERENT STATE",NA,NA,"FULL-TIME",NA,NA,"cellphone","no",NA,NA,"no","foreign",NA,"YES, IN RELATIONSHIP","TOWN LT 50000","HEAD OF HOUSEHOLD","female","Heterosexual or straight","12 LRGST SMSA'S","Did not vote","no","no","no","no","no","no","no","private","CITY GT 250000"
